city,state,population
West Fargo,North Dakota,37058
Mount Juliet,Tennessee,37029
San Juan,Texas,37008
Portage,Indiana,36988
Aventura,Florida,36987
Owasso,Oklahoma,36957
Park Ridge,Illinois,36950
Beloit,Wisconsin,36926
New Albany,Indiana,36843
Benton,Arkansas,36820
Rome,Georgia,36716
Lima,Ohio,36659
Muskegon,Michigan,36565
Bettendorf,Iowa,36543
Dunedin,Florida,36537
Hilliard,Ohio,36534
Phenix City,Alabama,36487
Addison,Illinois,36482
Lebanon,Tennessee,36479
West Hollywood,California,36475
Roseville,Minnesota,36457
Tucker,Georgia,36395
Moorpark,California,36375
Richfield,Minnesota,36354
Meridian,Mississippi,36347
Monrovia,California,36331
Kearns metroship,Utah,36330
Oak Creek,Wisconsin,36325
Lincoln Park,Michigan,36321
Texarkana,Texas,36317
Claremont,California,36266
Oswego,Illinois,36252
Post Falls,Idaho,36250
Lewiston,Maine,36225
Peachtree City,Georgia,36223
Lauderdale Lakes,Florida,36194
Richmond,Kentucky,36157
Bartlesville,Oklahoma,36144
Tooele,Utah,36015
Mount Vernon,Washington,36006
Leavenworth,Kansas,35957
Prattville,Alabama,35957
Watertown Town,Massachusetts,35939
Calumet City,Illinois,35913
San Juan Capistrano,California,35911
Marion,Ohio,35883
Franklin,Wisconsin,35811
Temple City,California,35811
Cooper City,Florida,35800
Del Rio,Texas,35760
El Mirage,Arizona,35753
La Vergne,Tennessee,35716
Inver Grove Heights,Minnesota,35672
Monroe,North Carolina,35540
Bell,California,35521
Gahanna,Ohio,35483
Riviera Beach,Florida,35463
Wildwood,Missouri,35432
Upper Arlington,Ohio,35366
Richmond,Indiana,35342
Plainfield,Indiana,35287
Manhattan Beach,California,35183
Lufkin,Texas,35021
Gadsden,Alabama,35000
Georgetown,Kentucky,34992
La Porte,Texas,34976
Englewood,Colorado,34917
Brunswick,Ohio,34880
East Point,Georgia,34875
DeLand,Florida,34851
Pleasant Hill,California,34839
Merrillville,Indiana,34792
Stow,Ohio,34785
San Luis,Arizona,34778
Cedar City,Utah,34764
McMinnville,Oregon,34743
Leawood,Kansas,34727
Cookeville,Tennessee,34706
Menlo Park,California,34698
Myrtle Beach,South Carolina,34695
Panama City,Florida,34667
Sun Prairie,Wisconsin,34661
Pullman,Washington,34506
Vestavia Hills,Alabama,34413
North Ridgeville,Ohio,34392
Socorro,Texas,34370
Randolph Town,Massachusetts,34362
Wenatchee,Washington,34360
Norristown,Pennsylvania,34341
Goshen,Indiana,34217
Butte-Silver Bow,Montana,34207
Goldsboro,North Carolina,34186
Parkland,Florida,34170
University City,Missouri,34165
Midvale,Utah,34124
Franklin Town,Massachusetts,34087
Kennesaw,Georgia,34077
Adelanto,California,34049
Torrington,Connecticut,34044
University Place,Washington,34001
Chester,Pennsylvania,34000
Douglasville,Georgia,33992
Salisbury,North Carolina,33988
Lake Stevens,Washington,33911
Foster City,California,33901
Valparaiso,Indiana,33897
Fairborn,Ohio,33876
Estero,Florida,33871
Mason,Ohio,33870
Kearney,Nebraska,33867
Cottonwood Heights,Utah,33843
Beverly Hills,California,33792
Seaside,California,33748
Dalton,Georgia,33665
San Dimas,California,33621
Glendale Heights,Illinois,33617
Dana Point,California,33577
Weatherford,Texas,33547
Midlothian,Texas,33532
Newark,Delaware,33515
Alabaster,Alabama,33487
Deer Park,Texas,33474
Long Beach,New York,33454
Woodridge,Illinois,33432
Greer,South Carolina,33373
Springville,Utah,33310
Saratoga Springs,Utah,33282
Hinesville,Georgia,33273
Copperas Cove,Texas,33235
Holland,Michigan,33216
American Fork,Utah,33161
Andover,Minnesota,33140
Matthews,North Carolina,33138
Helena,Montana,33124
Woodstock,Georgia,33039
Florence,Kentucky,33004
Northbrook,Illinois,32958
Statesboro,Georgia,32954
Salisbury,Maryland,32935
Walla Walla,Washington,32900
Fair Lawn,New Jersey,32896
St. Charles,Illinois,32887
Nacogdoches,Texas,32877
Lewiston,Idaho,32788
Bay City,Michigan,32717
Laramie,Wyoming,32711
Houma,Louisiana,32696
Massillon,Ohio,32584
Manitowoc,Wisconsin,32579
Jackson,Michigan,32440
Harker Heights,Texas,32421
Redmond,Oregon,32421
Elk Grove Village,Illinois,32400
Kaysville,Utah,32390
Lawndale,California,32389
Southlake,Texas,32376
Savage,Minnesota,32362
Des Moines,Washington,32348
Bethel Park,Pennsylvania,32345
Dania Beach,Florida,32271
Bangor,Maine,32262
Spring Valley,New York,32261
Dover,New Hampshire,32191
College Park,Maryland,32163
Paso Robles,California,32153
Rome,New York,32148
Clearfield,Utah,32118
Liberty,Missouri,32100
Eastpointe,Michigan,32081
Pekin,Illinois,32045
Westlake,Ohio,32032
Gillette,Wyoming,32030
Alamogordo,New Mexico,31980
Juneau,Alaska,31974
La Verne,California,31974
Garfield,New Jersey,31802
West Bend,Wisconsin,31563
Rochester,New Hampshire,31526
Bowling Green,Ohio,31504
Syracuse,Utah,31458
Shawnee,Oklahoma,31436
Sherwood,Arkansas,31436
Sahuarita,Arizona,31421
Garner,North Carolina,31407
Miami Lakes,Florida,31367
Petersburg,Virginia,31346
North Olmsted,Ohio,31341
Wheat Ridge,Colorado,31324
Cleburne,Texas,31295
Cibolo,Texas,31281
Banning,California,31221
Laguna Hills,California,31207
Princeton,New Jersey,31187
Naugatuck,Connecticut,31108
Mundelein,Illinois,31051
Michigan City,Indiana,31015
Kingman,Arizona,31013
San Pablo,California,30990
Fairbanks,Alaska,30917
Goleta,California,30911
Opelika,Alabama,30908
Algonquin,Illinois,30897
Burlingame,California,30889
Aiken,South Carolina,30869
Nicholasville,Kentucky,30865
Ithaca,New York,30837
Lawrenceville,Georgia,30834
Winter Park,Florida,30825
Fitchburg,Wisconsin,30792
Fountain,Colorado,30735
Brooklyn Center,Minnesota,30690
Lafayette,Colorado,30687
Hopkinsville,Kentucky,30680
Morgantown,West Virginia,30549
Canton,Georgia,30528
Poughkeepsie,New York,30515
Crown Point,Indiana,30488
Danville,Illinois,30479
Windsor,Colorado,30477
Gloucester,Massachusetts,30430
Gurnee,Illinois,30378
Holladay,Utah,30325
Fuquay-Varina,North Carolina,30324
Chamblee,Georgia,30307
LaGrange,Georgia,30305
Elizabethtown,Kentucky,30289
Cornelius,North Carolina,30257
North Tonawanda,New York,30245
Long Branch,New Jersey,30241
Los Gatos,California,30222
Galesburg,Illinois,30197
Morristown,Tennessee,30193
San Carlos,California,30185
Saratoga,California,30153
Los Altos,California,30089
Sanford,North Carolina,30085
Ballwin,Missouri,30082
Atascadero,California,30075
North Royalton,Ohio,30068
New Bern,North Carolina,29994
Seguin,Texas,29992
Stockbridge,Georgia,29904
Rahway,New Jersey,29895
Madison Heights,Michigan,29886
Carlsbad,New Mexico,29810
Santa Paula,California,29806
Eagle,Idaho,29796
Maryville,Tennessee,29742
Walnut,California,29685
Eagle Pass,Texas,29684
Suisun City,California,29663
Texarkana,Arkansas,29657
Kent,Ohio,29646
North Chicago,Illinois,29615
Duluth,Georgia,29609
O'Fallon,Illinois,29583
Atwater,California,29559
Highland Park,Illinois,29515
Westfield,New Jersey,29512
Oak Park,Michigan,29431
Rexburg,Idaho,29400
Central,Louisiana,29357
Chicago Heights,Illinois,29322
East Palo Alto,California,29314
Parkersburg,West Virginia,29306
Russellville,Arkansas,29175
Washington,Utah,29174
Port Chester,New York,29163
Oak Ridge,Tennessee,29156
Greenville,Mississippi,29085
Jamestown,New York,29058
SeaTac,Washington,29044
Fredericksburg,Virginia,29036
Williston,North Dakota,29033
Raytown,Missouri,28991
Paragould,Arkansas,28986
Ridgecrest,California,28973
Southgate,Michigan,28959
Harrison,New York,28943
Niles,Illinois,28938
Desert Hot Springs,California,28878
Bella Vista,Arkansas,28872
Morrisville,North Carolina,28846
Greenville,Texas,28827
Casselberry,Florida,28757
Port Huron,Michigan,28749
Wasco,California,28710
Lake in the Hills,Illinois,28634
Agawam Town,Massachusetts,28613
Burton,Michigan,28574
Schererville,Indiana,28527
Independence,Kentucky,28521
West Springfield Town,Massachusetts,28517
New Iberia,Louisiana,28454
Northampton,Massachusetts,28451
Englewood,New Jersey,28402
Enterprise,Alabama,28376
Zionsville,Indiana,28357
Burbank,Illinois,28289
Aberdeen,South Dakota,28257
Benicia,California,28240
Jacksonville,Arkansas,28235
Rockledge,Florida,28227
Saratoga Springs,New York,28212
Henderson,Kentucky,28207
Middletown,New York,28189
Big Spring,Texas,28187
Williamsport,Pennsylvania,28186
Monterey,California,28178
Newburgh,New York,28177
Converse,Texas,28171
Granite City,Illinois,28158
Oxford,Mississippi,28122
Yukon,Oklahoma,28084
Winchester,Virginia,28078
Melrose,Massachusetts,28016
Hutto,Texas,27947
Bixby,Oklahoma,27944
Hobart,Indiana,27939
Oakdale,Minnesota,27933
Marion,Indiana,27930
New Smyrna Beach,Florida,27843
Tualatin,Oregon,27837
Fridley,Minnesota,27826
East Chicago,Indiana,27817
Kirkwood,Missouri,27807
Frankfort,Kentucky,27755
Ramsey,Minnesota,27721
Jeffersontown,Kentucky,27715
Glen Ellyn,Illinois,27714
Anderson,South Carolina,27676
Slidell,Louisiana,27633
Bridgewater Town,Massachusetts,27619
Mint Hill,North Carolina,27617
Statesville,North Carolina,27528
Gladstone,Missouri,27489
Garfield Heights,Ohio,27448
Imperial Beach,California,27440
Florence,Arizona,27422
Lansing,Illinois,27402
Millville,New Jersey,27391
Monroeville,Pennsylvania,27380
Athens,Alabama,27366
Bergenfield,New Jersey,27327
Horn Lake,Mississippi,27272
Carrollton,Georgia,27259
Prior Lake,Minnesota,27241
Forney,Texas,27236
Huntley,Illinois,27228
Lake Jackson,Texas,27220
Maple Valley,Washington,27202
Easton,Pennsylvania,27189
Oak Forest,Illinois,27173
Glen Cove,New York,27166
Shoreview,Minnesota,27130
Windsor,California,27128
Dodge City,Kansas,27104
Round Lake Beach,Illinois,27100
Colleyville,Texas,27091
Wilmette,Illinois,27089
Plum,Pennsylvania,27087
Mount Pleasant,Wisconsin,27082
McHenry,Illinois,27061
Elmira,New York,27054
Shaker Heights,Ohio,27027
Erie,Colorado,27003
Brownsburg,Indiana,27001
Chaska,Minnesota,26989
Bristol,Tennessee,26987
Maywood,California,26973
Maryland Heights,Missouri,26956
Magna metroship,Utah,26949
Xenia,Ohio,26947
Belmont,California,26941
Allen Park,Michigan,26940
Mason City,Iowa,26931
New Lenox,Illinois,26926
Hanahan,South Carolina,26917
Daphne,Alabama,26869
New London,Connecticut,26858
West Chicago,Illinois,26816
Kiryas Joel,New York,26813
Lemon Grove,California,26811
Lindenhurst,New York,26801
McDonough,Georgia,26768
West Linn,Oregon,26736
Lemoore,California,26725
Alvin,Texas,26723
Eureka,California,26710
Marshalltown,Iowa,26666
Thomasville,North Carolina,26649
Temple Terrace,Florida,26639
Lafayette,California,26638
Norco,California,26604
Winona,Minnesota,26594
Galt,California,26536
Vernon Hills,Illinois,26521
Pearl,Mississippi,26510
Bessemer,Alabama,26472
Wheeling,West Virginia,26430
Batavia,Illinois,26420
Garden City,Kansas,26408
Garden City,Michigan,26408
Wooster,Ohio,26394
Chanhassen,Minnesota,26389
Fremont,Nebraska,26383
Cabot,Arkansas,26352
Neenah,Wisconsin,26300
Troy,Ohio,26281
Hercules,California,26276
Woodburn,Oregon,26273
Paramus,New Jersey,26264
Brawley,California,26227
Alton,Illinois,26208
Auburn,New York,26173
Cliffside Park,New Jersey,26133
Sebastian,Florida,26118
Northport,Alabama,26115
Twentynine Palms,California,26073
East St. Louis,Illinois,26047
Sachse,Texas,26046
Kankakee,Illinois,26024
Haines City,Florida,26009
Soledad,California,25999
Superior,Wisconsin,25977
Conway,South Carolina,25956
Medina,Ohio,25956
Barberton,Ohio,25953
Asheboro,North Carolina,25940
Mercer Island,Washington,25894
Stevens Point,Wisconsin,25880
Lebanon,Pennsylvania,25879
White Bear Lake,Minnesota,25875
Green,Ohio,25752
Owatonna,Minnesota,25704
Moscow,Idaho,25702
Decatur,Georgia,25696
Pooler,Georgia,25694
Madison,Mississippi,25661
Reedley,California,25658
Starkville,Mississippi,25653
Laurel,Maryland,25631
Lockport,Illinois,25615
Franklin,Indiana,25608
South Salt Lake,Utah,25582
Tarpon Springs,Florida,25577
Bluffton,South Carolina,25557
Forest Grove,Oregon,25553
South Portland,Maine,25532
Denison,Texas,25529
El Cerrito,California,25508
Mauldin,South Carolina,25409
Homewood,Alabama,25377
Farmington,Utah,25339
Sanger,California,25339
South Pasadena,California,25329
Kingsville,Texas,25315
Salem,Virginia,25301
Bainbridge Island,Washington,25298
Caledonia,Wisconsin,25277
Crestview,Florida,25274
Champlin,Minnesota,25268
Woodstock,Illinois,25240
Austin,Minnesota,25233
Edwardsville,Illinois,25233
Palm Springs,Florida,25216
Elk River,Minnesota,25213
Rosemount,Minnesota,25207
Fountain Hills,Arizona,25200
Zanesville,Ohio,25158
Belvidere,Illinois,25143
Riverside,Ohio,25133
Muskego,Wisconsin,25127
Hazelwood,Missouri,25117
Clinton,Iowa,25093
Carbondale,Illinois,25083
Ridgewood,New Jersey,25056
Balch Springs,Texas,25007
University Park,Texas,24985
De Pere,Wisconsin,24970
Derby,Kansas,24943
Staunton,Virginia,24932
Wilsonville,Oregon,24918
Clayton,North Carolina,24887
Riverbank,California,24881
Walker,Michigan,24869
Paducah,Kentucky,24865
Wyandotte,Michigan,24859
Grandview,Missouri,24856
Paris,Texas,24847
Watertown,New York,24838
Selma,California,24825
Ossining,New York,24812
Mount Pleasant,Michigan,24797
Hazleton,Pennsylvania,24794
South Elgin,Illinois,24755
Auburn Hills,Michigan,24748
Burlington,Iowa,24713
Melrose Park,Illinois,24703
Ardmore,Oklahoma,24698
Hastings,Nebraska,24692
Marysville,Ohio,24667
Norton Shores,Michigan,24664
Kernersville,North Carolina,24660
Sugar Hill,Georgia,24617
Herndon,Virginia,24601
Emporia,Kansas,24598
Prosper,Texas,24579
Kalispell,Montana,24565
Sandusky,Ohio,24564
Rockville Centre,New York,24550
Athens,Ohio,24536
Palmetto Bay,Florida,24523
Avon Lake,Ohio,24504
Lathrop,California,24483
Loma Linda,California,24482
Watauga,Texas,24481
Homer Glen,Illinois,24472
Dinuba,California,24461
Norfolk,Nebraska,24449
Westmont,Illinois,24443
Clinton,Mississippi,24440
Camas,Washington,24418
Brookings,South Dakota,24415
Harvey,Illinois,24408
Trotwood,Ohio,24403
West Memphis,Arkansas,24402
Collinsville,Illinois,24395
Mequon,Wisconsin,24382
Ottumwa,Iowa,24368
Lodi,New Jersey,24347
Newport,Rhode Island,24334
San Fernando,California,24322
Saginaw,Texas,24310
Peekskill,New York,24295
Brandon,Mississippi,24289
Inkster,Michigan,24284
West Melbourne,Florida,24259
San Benito,Texas,24243
Simpsonville,South Carolina,24221
Bridgeton,New Jersey,24160
Key West,Florida,24118
Ridgeland,Mississippi,24104
Elmwood Park,Illinois,24098
Waukee,Iowa,24089
Moses Lake,Washington,24086
South Plainfield,New Jersey,24052
Wadsworth,Ohio,24046
Tumwater,Washington,24024
Fairfax,Virginia,24019
Venice,Florida,23985
Edgewater,Florida,23918
Barstow,California,23915
Pelham,Alabama,23911
Corsicana,Texas,23906
Faribault,Minnesota,23897
Seal Beach,California,23896
Fort Dodge,Iowa,23888
Newberg,Oregon,23886
Calabasas,California,23853
North Augusta,South Carolina,23845
Farragut,Tennessee,23778
Freeport,Illinois,23775
Jenks,Oklahoma,23767
Kerrville,Texas,23754
Coronado,California,23731
Centerville,Ohio,23703
Van Buren,Arkansas,23683
Leesburg,Florida,23671
Ponca City,Oklahoma,23660
Searcy,Arkansas,23660
Belton,Missouri,23642
North Platte,Nebraska,23639
Muscatine,Iowa,23631
Jacksonville Beach,Florida,23628
Oakdale,California,23596
Columbus,Mississippi,23573
Romulus,Michigan,23573
Cudahy,California,23569
Oak Harbor,Washington,23565
Leland,North Carolina,23544
Rolling Meadows,Illinois,23532
Benbrook,Texas,23502
Zion,Illinois,23487
Roseburg,Oregon,23479
Watertown,Wisconsin,23479
Hialeah Gardens,Florida,23474
Columbus,Nebraska,23468
Auburn,Maine,23414
Carteret,New Jersey,23408
Greenwood,South Carolina,23403
Avon,Ohio,23399
Loves Park,Illinois,23371
Lisle,Illinois,23270
Greenbelt,Maryland,23224
Maywood,Illinois,23158
Dickinson,North Dakota,23133
Oxford,Ohio,23110
Kenmore,Washington,23097
Farmington,Minnesota,23091
Greenfield,Indiana,23006
Willoughby,Ohio,22977
Mustang,Oklahoma,22959
Radcliff,Kentucky,22914
Middletown,Delaware,22900
Blue Island,Illinois,22899
Crystal,Minnesota,22899
Hastings,Minnesota,22886
Belton,Texas,22885
Marshall,Texas,22831
Laguna Beach,California,22827
Webster Groves,Missouri,22819
Acworth,Georgia,22818
Griffin,Georgia,22813
Morton Grove,Illinois,22796
Kingston,New York,22793
Keene,New Hampshire,22786
Marina,California,22781
Solon,Ohio,22779
New Brighton,Minnesota,22753
Mandan,North Dakota,22752
Fairhope,Alabama,22677
Machesney Park,Illinois,22677
Rock Springs,Wyoming,22653
Trussville,Alabama,22635
Waynesboro,Virginia,22630
Pottstown,Pennsylvania,22600
Johnston,Iowa,22582
Happy Valley,Oregon,22553
East Peoria,Illinois,22546
Hopewell,Virginia,22529
Patterson,California,22524
Fort Walton Beach,Florida,22521
Nixa,Missouri,22515
Clinton,Utah,22499
Munster,Indiana,22476
Christiansburg,Virginia,22473
Roselle,Illinois,22463
Garden City,New York,22454
Union City,Georgia,22399
Millbrae,California,22394
Dolton,Illinois,22348
Duncan,Oklahoma,22344
Highland,Indiana,22316
Prairie Village,Kansas,22295
